CLID1,AVG,CLID2,STD
4504,64.79,4504,10.34
4505,92.75,4505,16.36
4506,28.83,4506,6.29
4507,12.63,4507,2.81
4508,10.15,4508,2.32
4509,21.03,4509,3.36
4510,18.16,4510,3.02
4601,41.95,4601,5.53
4602,46.89,4602,5.80
4603,44.66,4603,5.56
4604,50.10,4604,5.73
4605,41.41,4605,4.86
4606,37.14,4606,5.99
4701,32.04,4701,5.16
4702,32.44,4702,4.85
4703,31.47,4703,4.29
4704,33.34,4704,4.66
4705,32.68,4705,4.00
4706,31.01,4706,3.78
4707,33.92,4707,5.02
4708,34.11,4708,4.36
4709,33.93,4709,3.90
4801,14.54,4801,2.06
4802,22.77,4802,4.13
4803,9.93,4803,2.36
4804,10.52,4804,1.77
4805,14.71,4805,2.36
4806,16.97,4806,3.15
4807,14.93,4807,2.95
4808,14.95,4808,2.61
4809,9.71,4809,2.21
4810,11.98,4810,1.98
5001,91.77,5001,12.87
5002,94.49,5002,14.84
5003,41.73,5003,5.50
5004,14.45,5004,2.15
5005,24.81,5005,3.97
5006,23.84,5006,3.55
5007,16.13,5007,3.54
5008,12.72,5008,1.49
5009,7.57,5009,1.91
5101,60.68,5101,15.80
5102,64.14,5102,12.92
5103,37.91,5103,11.58
5104,24.07,5104,10.79
5105,60.98,5105,15.20
5106,68.08,5106,14.94
6601,58.11,6601,11.51
6602,34.80,6602,8.80
6603,61.90,6603,9.95
6604,59.27,6604,9.60
6605,83.24,6605,14.20
6606,76.03,6606,12.73
6704,42.89,6704,10.38
9102,93.61,9102,14.30
9103,84.55,9103,16.02
9104,137.98,9104,15.89
