REF_DATE,Origin,DGUID,Destination,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1971/1972,"Yukon, province of origin",2016A000260,"Prince Edward Island, province of destination",Persons,249,units ,0,v466477,11.2,5,,,,0
1971/1972,"Yukon, province of origin",2016A000260,"Nova Scotia, province of destination",Persons,249,units ,0,v466478,11.3,0,,,,0
1971/1972,"Yukon, province of origin",2016A000260,"New Brunswick, province of destination",Persons,249,units ,0,v466479,11.4,15,,,,0
1971/1972,"Yukon, province of origin",2016A000260,"Quebec, province of destination",Persons,249,units ,0,v466480,11.5,93,,,,0
1971/1972,"Yukon, province of origin",2016A000260,"Ontario, province of destination",Persons,249,units ,0,v466481,11.6,162,,,,0
1971/1972,"Yukon, province of origin",2016A000260,"Manitoba, province of destination",Persons,249,units ,0,v466482,11.7,100,,,,0
1971/1972,"Yukon, province of origin",2016A000260,"Saskatchewan, province of destination",Persons,249,units ,0,v466483,11.8,63,,,,0
1971/1972,"Yukon, province of origin",2016A000260,"Alberta, province of destination",Persons,249,units ,0,v466484,11.9,764,,,,0
1971/1972,"Yukon, province of origin",2016A000260,"British Columbia, province of destination",Persons,249,units ,0,v466473,11.1,837,,,,0
1971/1972,"Yukon, province of origin",2016A000260,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466474,11.12,0,,,t,0
1971/1972,"Northwest Territories including Nunavut, province of origin",,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466485,12.1,32,,,t,0
1971/1972,"Northwest Territories including Nunavut, province of origin",,"Prince Edward Island, province of destination",Persons,249,units ,0,v466488,12.2,7,,,t,0
1971/1972,"Northwest Territories including Nunavut, province of origin",,"Nova Scotia, province of destination",Persons,249,units ,0,v466489,12.3,0,,,t,0
1971/1972,"Northwest Territories including Nunavut, province of origin",,"New Brunswick, province of destination",Persons,249,units ,0,v466490,12.4,26,,,t,0
1971/1972,"Northwest Territories including Nunavut, province of origin",,"Quebec, province of destination",Persons,249,units ,0,v466491,12.5,141,,,t,0
1971/1972,"Northwest Territories including Nunavut, province of origin",,"Ontario, province of destination",Persons,249,units ,0,v466492,12.6,256,,,t,0
1971/1972,"Northwest Territories including Nunavut, province of origin",,"Manitoba, province of destination",Persons,249,units ,0,v466493,12.7,160,,,t,0
1971/1972,"Northwest Territories including Nunavut, province of origin",,"Saskatchewan, province of destination",Persons,249,units ,0,v466494,12.8,98,,,t,0
1971/1972,"Northwest Territories including Nunavut, province of origin",,"Alberta, province of destination",Persons,249,units ,0,v466495,12.9,1193,,,t,0
1971/1972,"Northwest Territories including Nunavut, province of origin",,"British Columbia, province of destination",Persons,249,units ,0,v466486,12.1,1308,,,t,0
1971/1972,"Northwest Territories including Nunavut, province of origin",,"Yukon, province of destination",Persons,249,units ,0,v466487,12.11,0,,,t,0
